Keysight E1733A String Table
SimpChn

[1],Linear,线性
[3063],Select to open simulation mode,选中打开仿真模式
[3064],Select for auto recovery after signal loss,选中后一旦发生信号错误软件将自动复位
[3065],Select to enter demo mode,选中进入演示模式
[3066],Select for beep on the data recording,选中后每次记录数据时计算机都将发出鸣响
[3067],Select for E1736A S/N,选择想要使用的E1736A的系列号
[3068],Select for E1735A S/N,选择想要使用的E1735A的系列号
[3069],Select for the second E1735A S/N,选择想要使用的第二个E1735A的系列号
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A",选中后[复位];[开始];[记录]和[停止]操作将同时作用在两块E1735A上
[3071],Enter the wavelength of the laser head,输入激光头的真空波长
[3072],User calibration value,用户的校准值
[3073],Optics calibration parameter,光具的校准参数
[3074],Change laser position sign,改变激光位置的正负号
[3075],Air parameter update method |Plug or unplug sensor will change the setting,空气参数的更新方式|插入或拔出传感器将自动改变这一设置
[3076],Select air humidity update method,选择空气湿度的更新方式
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,选中后用户可以手动输入空气湿度|传感器的测量数据将被忽略
[3078],Material temperature update method |Plug or unplug sensor will change the setting,材料温度的更新方式|插入或拔出传感器将自动改变这一设置
[3079],Average of the material temperatures,材料温度的平均值
[3080],Compensation number for the laser wavelength in air,激光波长在空气中的补偿系数
[3081],Total compensation number including wavelength and expansion compensations,总的长度补偿系数;包括波长补偿和膨胀补偿
[3082],Expansion coefficient of the device under test or lead screw,被测工件的热膨胀系数
[3083],Repetition number of measurement cycles,单个测量循环的重复次数
[3084],The length of the segment from point A to point C,从点A到点C的线段长度
[3085],The length of the segment from point A to point G,从点A到点G的线段长度
[3086],Diagonal length of the measurement area,测量区域的对角线长度
[3087],Select the name of the axis for the next measurement,选定下一个被测量的轴线代号
[3088],Number of stops on each axis,各轴线上的站点数
[3089],Change the number of stops on AC,改变AC之间的站点数目
[3090],Change the number of stops on AG,改变AG之间的站点数目
[3091],Select the direction of the measurement on the axis,选择该轴线的测量方向
[3092],Enter the foot spacing of the measurement accessory,输入测量附件的脚间距
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,被测的导轨长度|取决于站点数和脚间距
[3094],Number of stops for the measurement,进行测量的站点数目
[3095],Distance between the target positions,目标位置之间的间隔长度
[3096],The first target position,第一个目标位置
[3097],The last target position,最后一个目标位置
[3098],Number of target positions in one travel range,单次行程中目标位置的数量
[3099],Data not available,此数据无法提供
[3100],Select to enable user defined target position,选中后用户可以自由定义目标位置
[3101],Select measurement travel direction,选择测量的行进方向
[3102],Select direction and sequence of approaching each target positions,选择接近各个目标位置的方向和次序
[3103],Enter the name of the target axis,输入目标轴的名称
[3104],Repetition number of the measurement cycles for the second axis,第二轴的单个测量循环的重复次数
[3105],Select direction and sequence of approaching each target position on the second axis,接近第二轴的各个目标位置的方向和次序
[3106],Enter the name of the target axis for the second axis,输入第二目标轴的名称
[3107],Delay time of the sampling after the object moves inside the target window ,误差值小于目标窗口后进行采样之前的延迟时间
[3108],Enter the resolution of the encoder,输入编码器的分辨率
[3109],Select sampling trigger method,选择触发采样的方式
[3110],Sampling by time,定时采样
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,输入目标窗口的大小|自动采样发生在误差值小于目标窗口后并延迟指定的时间之后
[3112],Select encoder output format,选择编码器的输出信号格式
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,选择数据的显示精度|这将影响数据表和保存文件的数据精度
[3114],Select the displayed unit of the error value,选择误差数值的显示单位
[3115],Select the displayed unit of the position value,选择位置数值的显示单位
[3116],Select the type of the parallelism measurement,选择要测量的平行度的类型
[3117],Enter the error of the optical square,输入光学直角镜的角度误差
[3118],Enter the value of the dead path,输入死径长度的数值
[3119],Rotary table resolution,转台的角度编码器的分辨率
[3120],User defined reset position,用户设定的激光复位的位置值
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,选择测量的平均时间|较短的平均时间可以提高测量的响应速度|较长的平均时间可以降低空气扰动的影响
[3122],Select the type of linear measurement optics,选择直线度光具的类型
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,目标在起点或终点停留超出指定的时间后将触发自动采样
[3124],Allow user to enter target position value when doing manual sampling,允许用户在手动采样时自行输入目标位置的数值
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,使用扩展分辨率|这将提高测量精度但降低采样速度
[3126],Target position interval for the second axis,第二轴的目标位置间隔
[3127],The first target position for the second axis,第二轴的第一个目标位置
[3128],The last target position for the second axis,第二轴的最后一个目标位置
[3129],The number of the target positions in one travel range for the second axis ,第二轴的单次行程中目标位置的数量
[3130],Data not available,数据无法提供
[3131],Select to enable user defined target position for the second axis,选中后用户可以自由定义第二轴的目标位置
[3132],Enter X-axis scale,输入X轴方向的比例系数
[3133],Enter Y-axis scale,输入Y轴方向的比例系数
[3134],Enter Z-axis scale,输入Z轴方向的比例系数
[3135],Calculated angle Alpha value,计算得到的Alfa角的数值
[3136],Calculated angle Beta value,计算得到的Beta角的数值
[3137],Calculated diagonal length,计算得到的对角线长度的数值
[3138],Enter sampling time interval,输入采样的时间间隔
[3139],Start sampling when the object passes the designated position (both directions),目标越过(双向)指定的位置后开始采样
[3140],Select to enable sampling mode,选择启动采样的方式
[3141],Advanced setup,高级设置
[3142],Stop sampling when the target passes the designated position (both direction),目标越过(双向)指定的位置后停止采样
[3143],Enter total sampling points,输入总的采样点数
[3144],Enter total sampling time,输入总的采样时间
[3145],Stop sampling when data is lost,数据丢失时停止采样
[3146],Stop sampling when error occurs,发生错误时停止采样
[3147],Select the mode of stop sampling,选择停止采样的方式
[3148],Enter the value of the cover factor,输入覆盖因子的数值
[3149],Select the calculation method of the flatness,选择平面度的计算方法
[3150],Select the name of the printer,选择打印机的名称
[3151],Enter the number of the copies to be printed,输入需要打印的份数
[3152],Select the orientation of the print,选择纸张的方向
[3153],Select the content of the print,选择需要打印的内容
[3154],Select the display mode of the environmental parameters,选择环境参数的显示方式
[3155],Display data in the graph,在图形中显示数据点
[3156],Graphical analysis options,图形分析选项
[3157],Data analysis options,数值分析选项
[3158],Select to display the slope of the fitting line,选中后在结果中显示拟合直线的斜率
[3159],Select measurement standard,选择使用的标准
[3160],Unselect to cancel the modification for the standard,去掉这个选项将取消对于标准的修改
[3161],Enter the name of the operator for the operation,输入完成本次测量的操作员的名字
[3162],Enter the location of the measurement,输入本次测量所在的地点
[3163],Enter the name of the machine,输入被测机器的名称
[3164],Enter the type of the machine,输入被测机器的类别
[3165],Enter the serial number of the machine,输入被测机器的系列号
[3166],Enter the model number of the machine,输入被测机器的型号
[3167],Enter the property number of the machine,输入被测机器的财产编号
[3168],Enter the calibration date,输入测试的日期
[3169],The file name for the saved settings,保存设置参数的文件名
[3170],Enter other notes to be saved,输入其他任何需要保存的注释信息
[3171],Enter the type of the device to be measured,输入被测的长度器件的类型
[3172],Enter the compensation method for the device to be measured,输入被测的长度器件的补偿方法
[3173],Enter the feed speed for the measurement,输入测试中使用的进给速度
[3174],Enter the dwell time for the object at each position,输入测试中目标在各个位置的停留时间
[3175],Enter the thermal coefficient of the device to be measured,输入被测的长度器件的热膨胀系数
[3176],Select if NDE correction is used,选择是否采用了NDE修正
[3177],Enter the name and serial number of the instrument used for the measurement,输入进行本次测量的仪器的名称及其系列号
[3178],Enter the locations of the axes not used in the calibration,输入所有未参与本次检测的其他轴线所在的位置
[3179],Enter the reference bias of the tool in X direction,输入X方向上的刀具的基准偏置
[3180],Enter the reference bias of the device in X direction,输入X方向上的工件的基准偏置
[3181],Enter the reference bias of the tool in Y direction,输入Y方向上的刀具的基准偏置
[3182],Enter the reference bias of the tool in Y direction,输入Z方向上的刀具的基准偏置
[3183],Enter the reference bias of the device in Y direction,输入Y方向上的工件的基准偏置
[3184],Enter the reference bias of the device in Y direction,输入Z方向上的工件的基准偏置
[3185],Enter the coordinate of the material sensor 1,输入第1材料传感器所在的坐标位置
[3186],Enter the coordinate of the material sensor 2,输入第2材料传感器所在的坐标位置
[3187],Enter the coordinate of the air sensor,输入空气传感器所在的坐标位置
[3188],Enter the coordinate of the material sensor 3,输入第3材料传感器所在的坐标位置
[3189],The update time of the sensor data in the compensation program,补偿程序中传感器数据的更新时间
[3190],Enter the maximum difference between the environmental temperature and 20 degree C during the measurement,输入本次测试中环境温度与20C的最大差值
[3191],Enter the maximum error of the material sensors used during the measurement,输入本次测试中使用的材料传感器的最大误差值
[3192],The maximum length of the measurement,本次测量所涉及的最大长度
[3193],The error range of the instruments used in the measurement,本次测量所使用的仪器的误差范围
[3194],Enter the estimated error from the optic alignment in the measurement,输入本次测量中光路调整误差的估计值
[3195],Enter the uncertainty of the expansion coefficient in the measurement,输入本次测量中所使用的热膨胀系数的不确定度
[3196],Enter the estimated error from the change of the environmental parameters in the measurement,输入本次测量中由于环境参数变动所引起的误差的估计值
[3197],Select if the instruments used in the measurement are calibrated,选择本次测试使用的仪器是否已经被校准过
[3198],Select the serial number of the E1735A for the second axis,选择测量第2轴所用的E1735A的系列号
[3199],Select the serial number of the E1736A for the second axis,选择测量第2轴所用的E1736A的系列号
[3200],Select the serial number of the E1735A for the first axis,选择测量第1轴所用的E1735A的系列号
[3201],Select the serial number of the E1736A for the first axis,选择测量第1轴所用的E1736A的系列号
[3202],Display help information when the mouse cursor moves over an item,当鼠标经过某个项目的时候显示帮助信息
[3203],Leave extra margin on selected side of paper,在选中的纸边留下额外的空白

[4001],Click to start linear measurement |Calibrate the accuracy of a linear guide,单击开始线性测量|标定导轨的线性定位精度
[4002],Click to start rotary measurement |Calibrate the accuracy of a rotary stage,单击开始转角测量|标定转台的旋转角度精度
[4003],Click to start angular measurement |Measure pitch or yaw along a linear path,单击开始角度测量|测量导轨的偏摆角或俯仰角误差
[4004],Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.,单击开始导轨直线度测量|采用角度光具测量导轨的直线度误差
[4005],Click to start time base linear measurement |Measure linear displacement over time,单击开始基于时间的线性测量|测量随时间变化的位移数值
