Keysight E1733A String Table
German

[386],Rotary Table,Rundtisch
[387],Printer,Drucker
[388],Copies,Kopien
[389],Orientation,Ausrichtung
[390],Portrait,Portrait
[391],Landscape,Landschaft
[392],Download,Download
[393],User defined download program,Benutzerdefiniertes Downloadprogramm
[394],File not found,Datei nicht auffindbar
[395],Show Hint,
[396],Extra Margin,
[397],Left,
[398],Top,
[399],Right,
[400],Bottom,
[401],Calibration Due,
[402],Calibration Expired,
[403],Calibration Period,
[404],Month,
[405],Dual Axis,
[406],Single Axis,
[407],Hysteresis,

[1001],Install,Installieren
[1002],[%s] will be installed in the following folder,[%s] werden in folgenden Ordner installiert
[1003],[%s] has been successfully installed,[%s] wurde erfolgreich installiert
[1004],Failed to install [%s],Fehler beim Installieren von [%s]
[1005],Remove,Entfernen
[1006],Remove all components of [%s],Alle Komponenten von [%s] entfernen
[1007],[%s] has been removed,[%s] wurde entfernt
[1008],Failed to remove [%s],Fehler beim entfernen von [%s]
[1009],Reinstall,Neuinstallation
[1010],Please close program [%s] first,Bitte zuerst Programm [%s] schließen
[1011],Install Path,Installationspfad
[1012],User Data,Benutzerdaten
[1013],User data will not be deleted,Benutzerdaten werden nicht gelöscht
[1014],Agree,Zustimmen
[1015],Do Not Agree,Ablehnen
[1016],Customize,Anpassen
[1017],Customize user interface and advanced options of [%s],Anpassen der Benutzeroberfläche und erweiterten Optionen von [%s]
[1018],Repair,Reparieren
[1019],Repair system settings and reinstall driver,Systemeinstellungen reparieren und Treiber neu installieren

[2001],Existing Calibration,Bestehende Kalibrierung
[2002],New Calibration,Neue Kalibrierung
[2003],Raw Value,Materialwert
[2004],Calibrated,Kalibriert
[2005],Reference,Referenz
[2006],Temperature,Temperatur
[2007],Write Sensor,Schreibsensor
[2008],Sensor Calibration,Sensor Kalibrierung
[2009],Sensor has been updated,Sensor wurde aktualisiert
[2010],Discard changes,Änderungen verwerfen
[2011],Cannot access sensor,Kein Zugriff auf Sensor

[3001],Laser position,Laserposition
[3002],Laser position 2,Laserposition 2
[3003],Error value,Fehlerwert
[3004],Target position,Zielposition
[3005],Encoder reading,Messgeber lesen
[3006],Rotary table reading,Rundtisch lesen
[3007],Rotary angle,Drehtisch Winkel
[3008],Elapsed time,Abgelaufene Zeit
[3009],Motion velocity,Verfahrgeschwindigkeit
[3010],Target position number,Zielpositionsnummer
[3011],Click to change lower display,Klicken um zur unteren Anzeige zu wechseln
[3012],Click to change upper display,Klicken um zur oberen Anzeige zu wechseln
[3013],Beam strength 2,Strahlstärke 2
[3014],beam strength,Strahlstärke
[3015],Simulated laser position,Simulierte Laserposition
[3016],Rotary table status |Click to enter hardware setup menu,Drehtisch Status | Klicken um ins Hardware Setup Menu zu gelangen
[3017],Air pressure,Luftdruck
[3018],Air temperature,Lufttemperatur
[3019],Material Temperature 1,Materialtemperatur 1
[3020],Material Temperature 2,Materialtemperatur 2
[3021],Material temperature 3,Materialtemperatur 3
[3022],Air relative humidity,Relative Luftfeuchtigkeit
[3023],Environmental parameter display area |Double click to enlarge or recover,Anzeigebereich Umgebungsparameter | Doppelklick zum Vergrößern oder Wiederherstellen
[3024],Measurement graph display area |Double click to enlarge or recover |Drag to change display area,Anzeigebereich Messdiagramm | Doppelklick zum Vergrößern oder Wiederherstellen | Ziehen um Anzeigebereich zu ändern
[3025],Measurement data display area |Double click to enlarge or recover,Anzeigebereich Messdaten | Doppelklick zum Vergrößern oder Wiederherstellen
[3026],Change error value sign,Austausch Fehler Wert Signal
[3027],Enter limit line value,Wert für Haltelinie eingeben
[3028],Select -> to display limit line,Auswählen -> um Haltelinie anzuzeigen
[3029],Enter line number |Press the left button to setup it as the first line,Liniennummer eingeben | Linken Knopf drücken für die gleichen Einstellungen der ersten Linie
[3030],Select the display mode of the target position,Wählen des Anzeigemodus der Zielposition
[3031],Enter user defined Y-axis range,Eingabe benutzerdefinierter Y-Achsen Bereich
[3032],Select ->  Display graph,Auswahl -> Anzeigediagramm
[3033],Auto select Y-axis range,Automatische Auswahl Y-Achsen Bereich
[3034],Select -> Display according to user defined range,Auswahl -> Anzeige gemäß benutzerdefiniertem Bereich
[3035],Toolbar,Werkzeugleiste
[3036],Select environmental parameter units ,Wähle Umgebungsparamter Einheiten
