Keysight E1733A String Table
Japanese

[1],Linear,長さ
[3066],Select for beep on the data recording,データ取得時にビープが鳴ります
[3067],Select for E1736A S/N,E1736Aをシリアル番号で選択します
[3068],Select for E1735A S/N,E1735Aをシリアル番号で選択します
[3069],Select for the second E1735A S/N,
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A",
[3071],Enter the wavelength of the laser head,レーザーの波長
[3072],User calibration value,
[3073],Optics calibration parameter,光学系キャリブレーション係数
[3074],Change laser position sign,符号反転
[3075],Air parameter update method |Plug or unplug sensor will change the setting,波長補正パラメータの更新方法|センサーの有無で切り変わります
[3076],Select air humidity update method,
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,
[3078],Material temperature update method |Plug or unplug sensor will change the setting,物体温度補正の更新方法|センサーの有無で切り変わります
[3079],Average of the material temperatures,センサーの平均
[3080],Compensation number for the laser wavelength in air,レーザー波長の補正値
[3081],Total compensation number including wavelength and expansion compensations,波長補正と物体温度補正を合わせた値
[3082],Expansion coefficient of the device under test or lead screw,位置決めに使用するリニアスケール/ボールねじの膨張係数
[3083],Repetition number of measurement cycles,繰返し回数
[3084],The length of the segment from point A to point C,A点からC点までの距離
[3085],The length of the segment from point A to point G,A点からG点までの距離
[3086],Diagonal length of the measurement area,対角線の距離
[3087],Select the name of the axis for the next measurement,これから測定する軸を選んでください
[3088],Number of stops on each axis,軸の測定回数
[3089],Change the number of stops on AC,測定ステップ数の増減
[3090],Change the number of stops on AG,測定ステップ数の増減
[3091],Select the direction of the measurement on the axis,測定する方向を選んでください
[3092],Enter the foot spacing of the measurement accessory,選択したフット・スペースの長さを入力してください
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,進路の測定長|選択したフット・スペースと測定点数で決まります
[3094],Number of stops for the measurement,
[3095],Distance between the target positions,移動間隔を入力してください
[3096],The first target position,開始位置を入力してください
[3097],The last target position,終了位置を入力してください
[3098],Number of target positions in one travel range,測定点数
[3099],Data not available,
[3100],Select to enable user defined target position,ユーザー定義のステップ設定|ランダム測定が定義できます
[3101],Select measurement travel direction,
[3102],Select direction and sequence of approaching each target positions,移動モードの選択
[3103],Enter the name of the target axis,測定軸名を入力
[3104],Repetition number of the measurement cycles for the second axis,繰返し回数を入力
[3105],Select direction and sequence of approaching each target position on the second axis,移動モードの選択
[3106],Enter the name of the target axis for the second axis,
[3107],Delay time of the sampling after the object moves inside the target window ,トリガドゥエル時間を入力してください|ターゲットウインドウに入ってこの時間でトリガが掛かります
[3108],Enter the resolution of the encoder,
[3109],Select sampling trigger method,トリガ方法を選んでください
[3110],Sampling by time,
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,ターゲットウインドウ値を入力してください
[3112],Select encoder output format,エンコーダの出力タイプを選んでください
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,表示分解能を選んでください|保存されるデータにも反映します
[3114],Select the displayed unit of the error value,誤差単位を選んでください
[3115],Select the displayed unit of the position value,位置単位を選んでください
[3116],Select the type of the parallelism measurement,
[3117],Enter the error of the optical square,光学系補正値を入力してください
[3118],Enter the value of the dead path,デッドパス値を入力してください
[3119],Rotary table resolution,ロータリーエンコーダーの分解能|55290Bの場合は0.36
[3120],User defined reset position,プリセット値を入力してください
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,データの平均化処理時間を選んでください
[3122],Select the type of linear measurement optics,光学系のタイプを選んでください
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,折返し点でオーバーラン出来ない場合この時間待てばトリガが掛かります
[3124],Allow user to enter target position value when doing manual sampling,
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,
[3126],Target position interval for the second axis,
[3127],The first target position for the second axis,
[3128],The last target position for the second axis,
[3129],The number of the target positions in one travel range for the second axis ,
[3130],Data not available,
[3131],Select to enable user defined target position for the second axis,
[3132],Enter X-axis scale,
[3133],Enter Y-axis scale,
[3134],Enter Z-axis scale,
[3135],Calculated angle Alpha value,
[3136],Calculated angle Beta value,
[3137],Calculated diagonal length,
[3138],Enter sampling time interval,サンプリング間隔を入力してください
[3139],Start sampling when the object passes the designated position (both directions),サンプリング開始位置を入力してください
[3140],Select to enable sampling mode,サンプリング開始モードを選んでください
[3141],Advanced setup,
[3142],Stop sampling when the target passes the designated position (both direction),サンプリング停止位置を入力してください
[3143],Enter total sampling points,集録点数を入力してください
[3144],Enter total sampling time,集録時間を入力してください
[3145],Stop sampling when data is lost,
[3146],Stop sampling when error occurs,
[3147],Select the mode of stop sampling,サンプリング停止モードを選んでください
[3148],Enter the value of the cover factor,
[3149],Select the calculation method of the flatness,
[3150],Select the name of the printer,プリンターを選んでください
[3151],Enter the number of the copies to be printed,コピー枚数を入力してください
[3152],Select the orientation of the print,用紙　縦/横
[3153],Select the content of the print,
[3154],Select the display mode of the environmental parameters,
[3155],Display data in the graph,
[3156],Graphical analysis options,
[3157],Data analysis options,
[3158],Select to display the slope of the fitting line,
[3159],Select measurement standard,
[3160],Unselect to cancel the modification for the standard,
[3161],Enter the name of the operator for the operation,
[3162],Enter the location of the measurement,
[3163],Enter the name of the machine,
[3164],Enter the type of the machine,
[3165],Enter the serial number of the machine,
[3166],Enter the model number of the machine,
[3167],Enter the property number of the machine,
[3168],Enter the calibration date,
[3169],The file name for the saved settings,
[3170],Enter other notes to be saved,
[3171],Enter the type of the device to be measured,
[3172],Enter the compensation method for the device to be measured,
[3173],Enter the feed speed for the measurement,
[3174],Enter the dwell time for the object at each position,
[3175],Enter the thermal coefficient of the device to be measured,
[3176],Select if NDE correction is used,
[3177],Enter the name and serial number of the instrument used for the measurement,
[3178],Enter the locations of the axes not used in the calibration,
[3179],Enter the reference bias of the tool in X direction,
[3180],Enter the reference bias of the device in X direction,
[3181],Enter the reference bias of the tool in Y direction,
[3182],Enter the reference bias of the tool in Y direction,
[3183],Enter the reference bias of the device in Y direction,
[3184],Enter the reference bias of the device in Y direction,
[3185],Enter the coordinate of the material sensor 1,
[3186],Enter the coordinate of the material sensor 2,
[3187],Enter the coordinate of the air sensor,
[3188],Enter the coordinate of the material sensor 3,
[3189],The update time of the sensor data in the compensation program,
[3190],Enter the maximum difference between the environmental temperature and 20 degree C during the measurement,
[3191],Enter the maximum error of the material sensors used during the measurement,
[3192],The maximum length of the measurement,
[3193],The error range of the instruments used in the measurement,
[3194],Enter the estimated error from the optic alignment in the measurement,
[3195],Enter the uncertainty of the expansion coefficient in the measurement,
[3196],Enter the estimated error from the change of the environmental parameters in the measurement,
[3197],Select if the instruments used in the measurement are calibrated,
[3198],Select the serial number of the E1735A for the second axis,
[3199],Select the serial number of the E1736A for the second axis,
[3200],Select the serial number of the E1735A for the first axis,
[3201],Select the serial number of the E1736A for the first axis,
[3202],Display help information when the mouse cursor moves over an item,
[3203],Leave extra margin on selected side of paper,

[4001],Click to start linear measurement |Calibrate the accuracy of a linear guide,クリックすると「長さ」測定が始まります| 位置決め評価
[4002],Click to start rotary measurement |Calibrate the accuracy of a rotary stage,クリックすると「角度位置」測定が始まります|角度光学系と角度位置測定キットを使用します
[4003],Click to start angular measurement |Measure pitch or yaw along a linear path,クリックすると「角度」測定が始まります| ピッチ/ヨーの測定
[4004],Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.,クリックすると「進路真直度」測定が始まります|角度光学系とフット・スペーシングキットを使用します
[4005],Click to start time base linear measurement |Measure linear displacement over time,クリックすると「長さのタイムベース」測定が始まります|長さの時間軸測定
[4006],Click to start straightness measurement |Use straightness optics to determine if a machine痴 moveable part is moving along a straight path,クリックすると「真直度」測定が始まります|真直度測定キットを使用します
[4007],"Click to start diagonal measurement |Use for volumetric analysis, as described in ANSI standard B5.54",クリックすると「ダイアゴナル（対角線）」測定が始まります|長さ光学系とダイアゴナル測定キットを使用します
[4008],"Click to start squareness measurement |Use to determine if two machine axes are oriented, and move, perpendicular to each other",クリックすると「直角度」測定が始まります|真直度光学系とオプティカルスクエアを使用します
[4009],Click to start the parallelism measurement |Use to determine if two machine axes move parallel to each other,クリックすると「平行度」測定が始まります|真直度光学系を使用します
[4010],Click to start the flatness measurement |Measure the flatness error of a surface plate,クリックすると「平面度」測定が始まります|角度光学系と平面度測定キットを使用します
[4011],Click to start dual axis measurement |Calibrate the linear position accuracy of two linear guide synchronously,クリックすると「長さ２軸」測定が始まります|２組のレーザーを使用します
[4012],Click to start time base angular measurement |Measure angle value over time,クリックすると「角度のタイムベース」測定が始まります|ピッチ/ヨーの時間軸測定
[4013],Click to start time base straightness measurement |Measurement straightness value over time,クリックすると「真直度のタイムベース」測定が始まります|真直度の時間軸測定
[4014],Setup basic options,基本的な設定のセットアップ
[4015],Open the help file,
[4016],Exit the program,プログラムを終了します
[4017],Open an existing file |Start or review a measurement using saved data,既存の測定ファイルを開きます|測定結果が表示されます
[4018],Display one less decimal place,小数点以下の表示を減らします
[4019],Display one more decimal place,小数点以下の表示を増やします
[4020],Change the sign of upper display number,符号反転
[4021],Change the sign of lower display number,符号反転
[4022],The status of the measurement module of second axis |Click to enter hardware setup menu,
[4023],The software is running in demo mode |Click to enter hardware setup menu,
[4024],The status of the laser head |Click to enter the hardware setup menu,レーザーヘッドのステータス|クリックでシステム設定メニューが開きます
[4025],The status of the second laser head |Click to enter the hardware setup menu,
[4026],The status of the single axis measurement module |Click to enter the hardware setup menu,アクシスモジュールのステータス|クリックでシステム設定メニューが開きます
[4027],The status of the sensor interface card |Click to enter the hardware setup menu,センサーハブのステータス|クリックでシステム設定メニューが開きます
[4028],The communication status of the single axis measurement module |Click to enter the hardware setup menu,
[4029],Display the line correspond to the number on the right side as the first line,
[4030],Select the program to use for the download operation,
[4031],Run the selected download program,
[4032],Increase font size,フォントの拡大
[4033],Decrease font size,フォントの縮小
