Keysight E1733A String Table
Spanish

[1],Linear,Lineal
[3026],Change error value sign,
[3027],Enter limit line value,
[3028],Select -> to display limit line,
[3029],Enter line number |Press the left button to setup it as the first line,
[3030],Select the display mode of the target position,
[3031],Enter user defined Y-axis range,
[3032],Select ->  Display graph,
[3033],Auto select Y-axis range,
[3034],Select -> Display according to user defined range,
[3035],Toolbar,
[3036],Select environmental parameter units ,
[3037],"Pressed to display grid lines, released to hide grid lines ",
[3038],"Pressed to display 3D graph, released to display 2D graph",
[3039],Select environmental parameter type,
[3040],Select the axis to be displayed,
[3041],Select the data type of the time to be displayed,
[3042],Select the items to be displayed,
[3043],Enter the measurement point number for the zero position ,
[3044],Select the conversion method of the error sign,
[3045],Compensation value calculation method,
[3046],Select the measurement unit format |It will effect on all the display values,
[3047],Length value correspond to one machine compensation value,
[3048],Select compensation table location and generation method,
[3049],Start position of the compensation table,
[3050],End position of the compensation table,
[3051],Interval of the compensation table,
[3052],Select the expression form of the compensation value |It will affect the sign of the compensation value,
[3053],Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately,
[3054],Click to enter ISO information menu,
[3055],Click to enter machine information menu,
[3056],Click to enter measurement setup menu,
[3057],Click to enter data analysis menu,
[3058],Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine,
[3059],Select display language,
[3060],Click to setup the default path for data files,
[3061],Select the display method of the interface,
[3062],Installed certificate,
[3063],Select to open simulation mode,
[3064],Select for auto recovery after signal loss,
[3065],Select to enter demo mode,
[3066],Select for beep on the data recording,
[3067],Select for E1736A S/N,
[3068],Select for E1735A S/N,
[3069],Select for the second E1735A S/N,
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A",
[3071],Enter the wavelength of the laser head,
[3072],User calibration value,
[3073],Optics calibration parameter,
[3074],Change laser position sign,
[3075],Air parameter update method |Plug or unplug sensor will change the setting,
[3076],Select air humidity update method,
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,
[3078],Material temperature update method |Plug or unplug sensor will change the setting,
[3079],Average of the material temperatures,
[3080],Compensation number for the laser wavelength in air,
[3081],Total compensation number including wavelength and expansion compensations,
[3082],Expansion coefficient of the device under test or lead screw,
[3083],Repetition number of measurement cycles,
[3084],The length of the segment from point A to point C,
[3085],The length of the segment from point A to point G,
[3086],Diagonal length of the measurement area,
[3087],Select the name of the axis for the next measurement,
[3088],Number of stops on each axis,
[3089],Change the number of stops on AC,
[3090],Change the number of stops on AG,
[3091],Select the direction of the measurement on the axis,
[3092],Enter the foot spacing of the measurement accessory,
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,
[3094],Number of stops for the measurement,
[3095],Distance between the target positions,
[3096],The first target position,
[3097],The last target position,
[3098],Number of target positions in one travel range,
[3099],Data not available,
[3100],Select to enable user defined target position,
[3101],Select measurement travel direction,
[3102],Select direction and sequence of approaching each target positions,
[3103],Enter the name of the target axis,
[3104],Repetition number of the measurement cycles for the second axis,
[3105],Select direction and sequence of approaching each target position on the second axis,
[3106],Enter the name of the target axis for the second axis,
[3107],Delay time of the sampling after the object moves inside the target window ,
[3108],Enter the resolution of the encoder,
[3109],Select sampling trigger method,
[3110],Sampling by time,
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,
[3112],Select encoder output format,
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,
[3114],Select the displayed unit of the error value,
[3115],Select the displayed unit of the position value,
[3116],Select the type of the parallelism measurement,
[3117],Enter the error of the optical square,
[3118],Enter the value of the dead path,
[3119],Rotary table resolution,
[3120],User defined reset position,
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,
[3122],Select the type of linear measurement optics,
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,
[3124],Allow user to enter target position value when doing manual sampling,
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,
[3126],Target position interval for the second axis,
[3127],The first target position for the second axis,
[3128],The last target position for the second axis,
[3129],The number of the target positions in one travel range for the second axis ,
[3130],Data not available,
[3131],Select to enable user defined target position for the second axis,
[3132],Enter X-axis scale,
[3133],Enter Y-axis scale,
[3134],Enter Z-axis scale,
[3135],Calculated angle Alpha value,
[3136],Calculated angle Beta value,
[3137],Calculated diagonal length,
[3138],Enter sampling time interval,
[3139],Start sampling when the object passes the designated position (both directions),
[3140],Select to enable sampling mode,
[3141],Advanced setup,
[3142],Stop sampling when the target passes the designated position (both direction),
[3143],Enter total sampling points,
[3144],Enter total sampling time,
[3145],Stop sampling when data is lost,
[3146],Stop sampling when error occurs,
[3147],Select the mode of stop sampling,
[3148],Enter the value of the cover factor,
[3149],Select the calculation method of the flatness,
[3150],Select the name of the printer,
[3151],Enter the number of the copies to be printed,
[3152],Select the orientation of the print,
[3153],Select the content of the print,
[3154],Select the display mode of the environmental parameters,
[3155],Display data in the graph,
[3156],Graphical analysis options,
[3157],Data analysis options,
[3158],Select to display the slope of the fitting line,
[3159],Select measurement standard,
[3160],Unselect to cancel the modification for the standard,
[3161],Enter the name of the operator for the operation,
[3162],Enter the location of the measurement,
[3163],Enter the name of the machine,
[3164],Enter the type of the machine,
[3165],Enter the serial number of the machine,
[3166],Enter the model number of the machine,
[3167],Enter the property number of the machine,
[3168],Enter the calibration date,
[3169],The file name for the saved settings,
[3170],Enter other notes to be saved,
[3171],Enter the type of the device to be measured,
[3172],Enter the compensation method for the device to be measured,
[3173],Enter the feed speed for the measurement,
[3174],Enter the dwell time for the object at each position,
[3175],Enter the thermal coefficient of the device to be measured,
[3176],Select if NDE correction is used,
[3177],Enter the name and serial number of the instrument used for the measurement,
[3178],Enter the locations of the axes not used in the calibration,
[3179],Enter the reference bias of the tool in X direction,
[3180],Enter the reference bias of the device in X direction,
[3181],Enter the reference bias of the tool in Y direction,
[3182],Enter the reference bias of the tool in Y direction,
