Keysight E1733A String Table
TradChn

[1],Linear,線性
[1015],Do Not Agree,不同意
[1016],Customize,自行定義
[1017],Customize user interface and advanced options of [%s],自定義使用者介面及[%s]進階選項
[1018],Repair,修復
[1019],Repair system settings and reinstall driver,修復系統並重新安裝驅動

[2001],Existing Calibration,現有的校正
[2002],New Calibration,新的校正
[2003],Raw Value,原始值
[2004],Calibrated,已校正
[2005],Reference,參考值
[2006],Temperature,溫度
[2007],Write Sensor,寫入感測器
[2008],Sensor Calibration,感測器校正
[2009],Sensor has been updated,感測器已升級
[2010],Discard changes,放棄修改
[2011],Cannot access sensor,感測器無法連線
,
[3001],Laser position,雷射位置
[3002],Laser position 2,雷射位置 2
[3003],Error value,誤差值
[3004],Target position,目標位置
[3005],Encoder reading,編碼器讀數
[3006],Rotary table reading,旋轉盤讀值
[3007],Rotary angle,旋轉角度
[3008],Elapsed time,經過時間
[3009],Motion velocity,運動速度
[3010],Target position number,目標位置編號
[3011],Click to change lower display,點擊改變下排項目
[3012],Click to change upper display,點擊改變上排項目
[3013],Beam strength 2,光束強度 2
[3014],beam strength,光束強度
[3015],Simulated laser position,模擬雷射位置
[3016],Rotary table status |Click to enter hardware setup menu,旋轉盤設置 | 點擊進入硬體設定頁面
[3017],Air pressure,空氣壓力
[3018],Air temperature,空氣溫度
[3019],Material Temperature 1,材料溫度 1
[3020],Material Temperature 2,材料溫度 2
[3021],Material temperature 3,材料溫度 3
[3022],Air relative humidity,相對濕度
[3023],Environmental parameter display area |Double click to enlarge or recover,顯示環境參數 | 雙擊放大或復原
[3024],Measurement graph display area |Double click to enlarge or recover |Drag to change display area,量測圖形顯示 | 雙擊放大或復原
[3025],Measurement data display area |Double click to enlarge or recover,量測數據顯示 | 雙擊放大或復原
[3026],Change error value sign,改變誤差值的正負號
[3027],Enter limit line value,輸入上下限範圍
[3028],Select -> to display limit line,點選->顯示上下限
[3029],Enter line number |Press the left button to setup it as the first line,輸入行號 | 按左邊按鈕並設為第一行
[3030],Select the display mode of the target position,選擇目標位置的顯示模式
[3031],Enter user defined Y-axis range,輸入Y軸自定義範圍
[3032],Select ->  Display graph,選擇 -> 顯示圖例
[3033],Auto select Y-axis range,自動選擇Y軸範圍
[3034],Select -> Display according to user defined range,選擇 -> 用戶自訂義範圍
[3035],Toolbar,工具列
[3036],Select environmental parameter units ,選擇環境參數單位
[3037],"Pressed to display grid lines, released to hide grid lines ",按下時顯示網格，放開時隱藏
[3038],"Pressed to display 3D graph, released to display 2D graph",按下時顯示3D圖，放開時顯示2D數據
[3039],Select environmental parameter type,選擇環境參數類型
[3040],Select the axis to be displayed,選擇要顯示的軸向
[3041],Select the data type of the time to be displayed,選擇時間參數類型
[3042],Select the items to be displayed,選擇顯示的項目
[3043],Enter the measurement point number for the zero position ,設定機器零點所對應的量測點編號
[3044],Select the conversion method of the error sign,選擇誤差符號的轉換模式
[3045],Compensation value calculation method,計算補償值模式
[3046],Select the measurement unit format |It will effect on all the display values,選擇長度量測單位 | 將影響所有數值顯示
[3047],Length value correspond to one machine compensation value,對應一機台的長度補償值
[3048],Select compensation table location and generation method,選擇補償表的位置與產生方式
[3049],Start position of the compensation table,補償表的起點位置
[3050],End position of the compensation table,補償表的終點位置
[3051],Interval of the compensation table,補償表的間隔
[3052],Select the expression form of the compensation value |It will affect the sign of the compensation value,選擇補償表顯示方式 | 將影響補償值正負號
[3053],Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately,選擇前進與後退補償表計算方式 | 組合：取前進與後退的平均補償值 | 前進與後退：分別顯示為兩組數值
[3054],Click to enter ISO information menu,進入 ISO 資訊設置頁面
[3055],Click to enter machine information menu,進入 機器資訊設置頁面
[3056],Click to enter measurement setup menu,進入 測量設置頁面
[3057],Click to enter data analysis menu,進入 數據分析頁面
[3058],Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine,設置量測設定值 | 回復預設值：清除全部設定值；適用於開始全新量測  | 回復紀錄值：保留所有量測設定值；適用於重複量測同一機台 | 保留資訊：僅保留機器資訊；適用於同一機台上開始新的量測
[3059],Select display language,選擇語系
[3060],Click to setup the default path for data files,設定存取量測數據的預設路徑
