Keysight E1733A String Table
English

[317],Already running [%s] software,Already running [%s] software
[318],Offline Mode,Offline Mode
[319],Main Menu,Main Menu
[320],Numeric Display,Numeric Display
[321],Default Display Mode,Default Display Mode
[322],Advanced Options,Advanced Options
[323],Pos. Uncertnty,Pos. Uncertnty
[324],Sorted by position number,Sorted by position number
[325],Sorted by run number,Sorted by run number
[326],Sorted by line number,Sorted by line number
[327],Number of total data pairs,Number of total data pairs
[328],Number of total data runs,Number of total data runs
[329],Axis 2 Data,Axis 2 data
[330],Out of spec,Out of spec
[331],Target Value,Target Value
[332],Error Value,Error Value
[333],Pos #,Pos #
[334],Run #,Run #
[335],Line #,Line #
[336],Point #,Point #
[337],Position,Position
[338],Coefficient of Thermal Expansion,Coefficient of Thermal Expansion
[339],Compensation Routine,Compensation Routine
[340],Update Each %s ,Update Each %s 
[341],Equation,Equation
[342],Parameter,Parameter
[343],Air Conditions Used for Compensation of Laser Interferometer,Air Conditions Used for Compensation of Laser Interferometer
[344],Positioning Measurement,Positioning Measurement
[345],Estimation of Measurement Uncertainty,Estimation of Measurement Uncertainty
[346],Laser Interferometer Measurement,Laser Interferometer Measurement
[347],Simplified Method,Simplified Method
[348],Average Industial Conditions,Average Industial Conditions
[349],Improved Industrial Conditions,Improved Industrial Conditions
[350],Contributors,Contributors
[351],Device,Device
[352],Measurement Length,Measurement Length
[353],Error Range,Error Range
[354],Alignment,Alignment
[355],Beam Alignment,Beam Alignment
[356],Misalignment,Misalignment
[357],Compensation of Workpiece Temperature,Compensation of Workpiece Temperature
[358],Thermal Expansion Coefficient,Thermal Expansion Coefficient
[359],Difference to 20C,Difference to 20C
[360],Temperature Measurement,Temperature Measurement
[361],Maximum,Maximum
[362],Machine Tool,Machine Tool
[363],Zero,Zero
[364],Included in U(%s),Included in U(%s)
[365],Environmental Variation,Environmental Variation
[366],Correction of R Values Due to U(EVE),Correction of R Values Due to U(EVE)
[367],Correction of Repeatability Values,Correction of Repeatability Values
[368],According to Table,According to Table
