Keysight E1733A String Table
French

[1],Linear,Lineaire
[407],Hysteresis,


[1001],Install,Installer
[1002],[%s] will be installed in the following folder,[%s] sera installé dans le dossier suivant
[1003],[%s] has been successfully installed,[%s] a été installé avec succès
[1004],Failed to install [%s],Echec d'installation [%s]
[1005],Remove,Supprimer
[1006],Remove all components of [%s],[%s] de composants supprimés
[1007],[%s] has been removed,[%s] ont été supprimés
[1008],Failed to remove [%s],Echec de la suppression [%s]
[1009],Reinstall,Ré-installation
[1010],Please close program [%s] first,Fermer le programme [%s] en premier
[1011],Install Path,Chemin d'installation
[1012],User Data,Données utilisateur
[1013],User data will not be deleted,Les données utilisateur ne seront pas supprimées
[1014],Agree,D'accord
[1015],Do Not Agree,Pas d'accord
[1016],Customize,Personnaliser
[1017],Customize user interface and advanced options of [%s],Personnalise l'interface utilisateur et les options avancées de [%s]
[1018],Repair,Réparer
[1019],Repair system settings and reinstall driver,Répare le paramétrage système et ré-installe les drivers

[2001],Existing Calibration,Calibration existante
[2002],New Calibration,Nouvelle calibration
[2003],Raw Value,Données brutes
[2004],Calibrated,Calibré
[2005],Reference,Référence
[2006],Temperature,Température
[2007],Write Sensor,Écriture du capteur
[2008],Sensor Calibration,Calibration du capteur
[2009],Sensor has been updated,Le capteur a été mis à jour
[2010],Discard changes,Abandon des changements
[2011],Cannot access sensor,Accès au capteur impossible

[3001],Laser position,Position laser
[3002],Laser position 2,Position laser 2
[3003],Error value,Erreur
[3004],Target position,Position cible
[3005],Encoder reading,Lecture codeur
[3006],Rotary table reading,Lecture de la table de rotation
[3007],Rotary angle,Angle de rotation
[3008],Elapsed time,Temps écoulé
[3009],Motion velocity,Vitesse de mouvement
[3010],Target position number,Position cible numéro
[3011],Click to change lower display,Clic pour modifier l'affichage inférieur
[3012],Click to change upper display,Clic pour modifier l'affichage supérieur
[3013],Beam strength 2,Puissance laser 2
[3014],beam strength,Puissance laser
[3015],Simulated laser position,Position laser simulée
[3016],Rotary table status |Click to enter hardware setup menu,Status de la table de rotation |Clic pour ouvrir le menu de configuration matériel
[3017],Air pressure,Pression d'air
[3018],Air temperature,Température d'air
[3019],Material Temperature 1,Température matériau 1
[3020],Material Temperature 2,Température matériau 2
[3021],Material temperature 3,Température matériau 3
[3022],Air relative humidity,Humidité relative de l'air
[3023],Environmental parameter display area |Double click to enlarge or recover,Zone d'affichage des paramètres environnementaux |Double-clic pour élargir ou réduire
[3024],Measurement graph display area |Double click to enlarge or recover |Drag to change display area,Zone d'affichage du graphique de mesure |Double-clic pour élargir ou réduire |Glisser pour changer la zone d'affichage
[3025],Measurement data display area |Double click to enlarge or recover,Zone d'affichage des données de mesure |Double-clic pour élargir ou réduire
[3026],Change error value sign,Change le signe de l'erreur
[3027],Enter limit line value,Entrez la valeur des lignes limites
[3028],Select -> to display limit line,Sélection->Affiche les lignes limites
[3029],Enter line number |Press the left button to setup it as the first line,Entrez le numéro de ligne |Pressez le bouton gauche pour la paramétrer comme la première ligne
[3030],Select the display mode of the target position,Choisissez le mode d'affichage de la position cible
[3031],Enter user defined Y-axis range,Entrez l'échelle de l'axe Y
[3032],Select ->  Display graph,Sélection-> Graphique d'affichage
[3033],Auto select Y-axis range,Sélection automatique de l'échelle de l'axe Y
[3034],Select -> Display according to user defined range,Sélection-> Affichage selon les échelles définies par l'utilisateur
[3035],Toolbar,Barre d'outils
[3036],Select environmental parameter units ,Sélectionne les unités des paramètres environnementaux
[3037],"Pressed to display grid lines, released to hide grid lines ","Appuyez pour afficher la grille, relachez pour masquer la grille"
[3038],"Pressed to display 3D graph, released to display 2D graph","Appuyez pour afficher le graphique en 3D, relachez pour afficher le graphique en 2D"
[3039],Select environmental parameter type,Sélectionne le type de paramètre environnemental
[3040],Select the axis to be displayed,Sélectionne l'axe à afficher
[3041],Select the data type of the time to be displayed,Sélectionne le type de données de temps à afficher
[3042],Select the items to be displayed,Sélectionne les articles à afficher
[3043],Enter the measurement point number for the zero position ,Entrez le numéro de point de mesure pour la position zéro
[3044],Select the conversion method of the error sign,Sélectionne la méthode de conversion du signe d'erreur
[3045],Compensation value calculation method,Méthode de calcul des valeurs de compensation
[3046],Select the measurement unit format |It will effect on all the display values,Sélectionne le format de l'unité de mesure | Toutes les valeurs affichées seront modifiées
[3047],Length value correspond to one machine compensation value,La valeur de longueur correspond à une valeur de compensation machine
[3048],Select compensation table location and generation method,Sélectionne l'emplacement de table de compensation et la méthode de génération
[3049],Start position of the compensation table,Position de début de la table de compensation
[3050],End position of the compensation table,Position de fin de la table de compensation
[3051],Interval of the compensation table,Intervalle de la table de compensation
[3052],Select the expression form of the compensation value |It will affect the sign of the compensation value,Sélectionne la forme d'expression de la valeur de compensation |Le signe de la valeur de compensation sera modifié
[3053],Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately,Sélectionne la méthode de calcul pour les valeurs de compensation en aller-retour |Moyenne: moyenne des deux valeurs de compensation |Aller/Retour: calcul des deux valeurs de compensation séparées
[3054],Click to enter ISO information menu,Cliquez pour entrer dans le menu d'information ISO
[3055],Click to enter machine information menu,Cliquez pour entrer dans le menu d'information machine
[3056],Click to enter measurement setup menu,Clic pour entrer dans le menu de paramétrage des mesures
[3057],Click to enter data analysis menu,Clic pour entrer dans le menu d'analyse de données
[3058],Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine,Sélectionne les paramètres pour la mesure |Par défaut: par défaut pour tous les paramètres; approprié pour nouvelle mesure |Sauvegardé: sauvegarde les paramètres de mesure et d'information; approprié pour une mesure se répétant |Information: sauvegarde seulement les paramètres d'information; approprié pour plusieurs mesures sur la même machine
[3059],Select display language,Sélectionne la langue d'affichage
[3060],Click to setup the default path for data files,Clic pour paramétrer le chemin par défaut pour les fichiers de données
[3061],Select the display method of the interface,Sélectionne la méthode d'affichage de l'interface
[3062],Installed certificate,Certificat d'installation
[3063],Select to open simulation mode,Sélectionnez pour ouvrir le mode simulation
[3064],Select for auto recovery after signal loss,Sélectionnez pour récupération automatique après perte du signal
[3065],Select to enter demo mode,Sélectionnez pour entrer en mode démo
[3066],Select for beep on the data recording,Sélectionnez pour avoir un son lors de l'enregistrement des données
[3067],Select for E1736A S/N,Sélectionnez pour E1736A S/N
[3068],Select for E1735A S/N,Sélectionnez pour E1735A S/N
[3069],Select for the second E1735A S/N,Sélectionnez pour le second E1735A S/N
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A","Sélectionnez pour les opérations de [Initialisation], [Démarrage], [Enregistrement] et [Arrêt] applicables aux deux E1735A"
[3071],Enter the wavelength of the laser head,Entrez la longueur d'onde de la source laser
[3072],User calibration value,Valeur d'étalonnage utilisateur
[3073],Optics calibration parameter,Paramètres d'étalonnage des optiques
[3074],Change laser position sign,Change le signe de position du laser
[3075],Air parameter update method |Plug or unplug sensor will change the setting,Méthode de mise à jour des paramètres d'air |Branchez ou débranchez le capteur modifiera le paramétrage
[3076],Select air humidity update method,Sélectionne la méthode de mise à jour de l'humidité de l'air
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,Sélectionnez pour entrer manuellement l'humidité de l'air |Les données du capteur seront ignorées
[3078],Material temperature update method |Plug or unplug sensor will change the setting,Méthode de mise à jour de la température matériau |Branchez ou débranchez le capteur modifiera le paramétrage
[3079],Average of the material temperatures,Moyenne des températures matériau
[3080],Compensation number for the laser wavelength in air,Valeur de compensation pour la longueur d'onde dans l'air
[3081],Total compensation number including wavelength and expansion compensations,Valeur de compensation totale incluant les coefficients de la longueur d'onde et de dilatation
[3082],Expansion coefficient of the device under test or lead screw,Coefficient de dilatation du dispositif en essai ou de la vis à bille
[3083],Repetition number of measurement cycles,Nombre de répétitions du cycle de mesure
[3084],The length of the segment from point A to point C,Longueur du segment du point A vers le point C
[3085],The length of the segment from point A to point G,Longueur du segment du point A vers le point G
[3086],Diagonal length of the measurement area,Longueur de la diagonale de l'aire de mesure
[3087],Select the name of the axis for the next measurement,Sélectionne le nom de l'axe pour la prochaine mesure
[3088],Number of stops on each axis,Nombre de points cible pour chaque axe
[3089],Change the number of stops on AC,Change le nombre d'arrêts sur AC
[3090],Change the number of stops on AG,Change le nombre d'arrêts sur AG
[3091],Select the direction of the measurement on the axis,Sélectionnez le sens de la mesure sur l'axe
[3092],Enter the foot spacing of the measurement accessory,Entrez l'espacement de la semelle de mesure
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,La longueur du guide en essai |dépend du nombre de points cible et de l'espacement
[3094],Number of stops for the measurement,Nombre de points cible pour la mesure
[3095],Distance between the target positions,Distance entre deux points cible
[3096],The first target position,Première position cible
[3097],The last target position,Dernière position cible
[3098],Number of target positions in one travel range,Nombre de points cible dans une longueur
[3099],Data not available,Donnée invalide
[3100],Select to enable user defined target position,Sélectionnez pour autoriser une position cible définie par l'utilisateur
[3101],Select measurement travel direction,Sélectionne le sens de déplacement
[3102],Select direction and sequence of approaching each target positions,Sélectionne sens et ordre d'approche de chaque position cible
[3103],Enter the name of the target axis,Entrez le nom de l'axe cible
[3104],Repetition number of the measurement cycles for the second axis,Nombre de répétitions des cycles de mesure pour le deuxième axe
[3105],Select direction and sequence of approaching each target position on the second axis,Sélectionne sens et ordre d'approche de chaque position cible pour le deuxième axe
[3106],Enter the name of the target axis for the second axis,Entrez le nom de l'axe cible pour le second axe
[3107],Delay time of the sampling after the object moves inside the target window ,Temps d'attente de l'échantillonage après que le mobile soit rentré dans la fenêtre cible
[3108],Enter the resolution of the encoder,Entrez la résolution du codeur
[3109],Select sampling trigger method,Sélectionne la méthode de prise de mesure
[3110],Sampling by time,Fréquence d'échantillonnage
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,Entrez la valeur de la fenêtre cible |La prise de mesure se fera après écoulement du temps d'attente démarrant lors de l'entrée du mobile dans la fenêtre cible
[3112],Select encoder output format,Sélectionne le format de sortie du codeur
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,Sélectionne la précision d'affichage des données |La précision dans la table des données et dans la sauvegarde des données sera affectée
[3114],Select the displayed unit of the error value,Sélectionne l'unité d'affichage de l'erreur
[3115],Select the displayed unit of the position value,Sélectionne l'unité d'affichage des valeurs de position
[3116],Select the type of the parallelism measurement,Sélectionne le type de mesure de parallélisme
[3117],Enter the error of the optical square,Entrez l'erreur de l'équerre optique
[3118],Enter the value of the dead path,Entrez la valeur du chemin mort
[3119],Rotary table resolution,Résolution de la table de rotation
[3120],User defined reset position,Position de départ définie par l'utilisateur
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,Sélectionne le temps de moyennage des prises de mesure | Un temps court augmentera la vitesse des prises de mesure | Un temps long réduira l'influence des turbulences d'air
[3122],Select the type of linear measurement optics,Sélectionne le type d'optiques linéaires
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,Temps d'attente lorsque le mobile reste à la position de départ ou de fin plus longtemps que le temps d'attente spécifié
[3124],Allow user to enter target position value when doing manual sampling,Permet à l'utilisateur de renseigner la valeur de la position cible en acquisition manuelle
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,Utilise la résolution étendue |Augmente la précision de mesure mais réduit la vitesse d'échantillonage
[3126],Target position interval for the second axis,Intervalle des positions cibles pour le deuxième axe
[3127],The first target position for the second axis,La première position cible pour le deuxième axe
[3128],The last target position for the second axis,La dernière position cible pour le deuxième axe
[3129],The number of the target positions in one travel range for the second axis ,Le nombre de positions cibles dans le déplacement du deuxième axe
[3130],Data not available,Donnée invalide
[3131],Select to enable user defined target position for the second axis,Sélectionnez pour définir la position cible du deuxième axe
[3132],Enter X-axis scale,Entrez l'échelle de l'axe X
[3133],Enter Y-axis scale,Entrez l'échelle de l'axe Y
[3134],Enter Z-axis scale,Entrez l'échelle de l'axe Z
[3135],Calculated angle Alpha value,Valeur calculée de l'angle Alpha
[3136],Calculated angle Beta value,Valeur calculée de l'angle Beta
[3137],Calculated diagonal length,Longueur calculée de la diagonale
[3138],Enter sampling time interval,Entrez la valeur de l'intervalle de l'échantillonnage
[3139],Start sampling when the object passes the designated position (both directions),Démarre la prise de mesure quand le mobile passe la position désignée (dans les deux sens)
[3140],Select to enable sampling mode,Sélectionne le mode échantillonnage
[3141],Advanced setup,Paramétrage avancé
[3142],Stop sampling when the target passes the designated position (both direction),Arrête la prise de mesure quand le mobile passe la position désignée (dans les deux sens)
[3143],Enter total sampling points,Entrez le nombre total de points à enregistrer
[3144],Enter total sampling time,Entrez le temps total d'acquisition
[3145],Stop sampling when data is lost,Arrête la prise de mesure quand les données sont perdues
[3146],Stop sampling when error occurs,Arrête la prise de mesure quand une erreur apparaît
[3147],Select the mode of stop sampling,Sélectionne le mode d'arrêt de la prise de mesure
[3148],Enter the value of the cover factor,Entrez le nombre d'écarts type
[3149],Select the calculation method of the flatness,Sélectionne la méthode de calcul de la planéité
[3150],Select the name of the printer,Sélectionne le nom de l'imprimante
[3151],Enter the number of the copies to be printed,Entrez le nombre de copies à imprimer
[3152],Select the orientation of the print,Sélectionne l'orientation de l'impression
[3153],Select the content of the print,Sélectionne le contenu de l'impression
[3154],Select the display mode of the environmental parameters,Sélectionne le mode d'affichage des paramètres d'environnement
